lines,chars,aa
7,30,"       _.---._    /\\         
    ./'       ""--`\//         
  ./              o \         
 /./\  )______   \__ \        
./  / /\ \   | \ \  \ \       
   / /  \ \  | |\ \  \7       
    ""     ""    ""  ""        VK
"
22,34,"             ,,,,,,,,             
           ,|||````||||           
     ,,,,|||||       ||,          
  ,||||```````       `||          
,|||`                 |||,        
||`     ....,          `|||       
||     ::::::::          |||,     
||     :::::::'     ||    ``|||,  
||,     :::::'               `||| 
`||,                           |||
 `|||,       ||          ||    ,||
   `||                        |||`
    ||                   ,,,||||  
    ||              ,||||||```    
   ,||         ,,|||||`           
  ,||`   ||   |||`                
 |||`         ||                  
,||           ||                  
||`           ||                  
|||,         |||                  
 `|||,,    ,|||                   
   ``||||||||`
                   "
7,32,"    =/\                 /\=     
    / \'._   (\_/)   _.'/ \     
   / .''._'--(o.o)--'_.''. \    
  /.' _/ |`'=/ "" \='`| \_ `.\   
 /` .' `\;-,'\___/',-;/` '. '\  
/.-' jgs   `\(-V-)/`       `-.\ 
`            ""   ""            `
"
7,26,"   /\                 /\  
  / \'._   (\_/)   _.'/ \ 
 /_.''._'--('.')--'_.''._\
 | \_ / `;=/ "" \=;` \ _/ |
  \/ `\__|`\___/`|__/`  \/
jgs`      \(/|\)/       ` 
           "" ` ""
         "
7,23," /\                 /\ 
/ \'._   (\_/)   _.'/ \
|.''._'--(o.o)--'_.''.|
 \_ / `;=/ "" \=;` \ _/ 
   `\__| \___/ |__/`   
jgs     \(_|_)/        
         "" ` ""
        "
10,40,"               /'.    .'\               
               \( \__/ )/               
         ___   / (.)(.) \   ___         
    _.-""`_  `-.|  ____  |.-`  _`""-._    
 .-'.-'//||`'-.\  V--V  /.-'`||\\'-.'-. 
`'-'-.// ||    / .___.  \    || \\.-'-'`
      `-.||_.._|        |_.._||.-'      
               \ ((  )) /               
           jgs  '.    .'                
                  `\/`
                 "
10,40,"               /'.    .'\               
               \( \__/ )/               
         ___   / (.)(.) \   ___         
    _.-""`_  `-.|  ____  |.-`  _`""-._    
 .-'.-'//||`'-.\  V--V  /.-'`||\\'-.'-. 
`'-'-.// ||    / .___.  \    || \\.-'-'`
      `-.||_.._|        |_.._||.-'      
               \ ((  )) /               
           jgs  '.    .'                
                  `\/`
                 "
7,15," __         __ 
/  \.-""""""-./  \
\    -   -    /
 |   o   o   | 
 \  .-'''-.  / 
  '-\__Y__/-'  
     `---`
    "
10,27,"    .--.              .--. 
   : (\ "". _......_ ."" /) :
    '.    `        `    .' 
     /'   _        _   `\  
    /     0}      {0     \ 
   |       /      \       |
   |     /'        `\     |
    \   | .  .==.  . |   / 
     '._ \.' \__/ './ _.'  
jgs  /  ``'._-''-_.'``  \
 "
12,29,"     (()__(()                
     /       \               
    ( /    \  \              
     \ o o    /              
     (_()_)__/ \             
    / _,==.____ \            
   (   |--|      )           
   /\_.|__|'-.__/\_          
  / (        /     \         
  \  \      (      /         
   )  '._____)    /          
(((____.--(((____/mrf
       "
15,37," .'""'.        ___,,,___        .'``. 
: (\  `.""'""```         ```""'""-'  /) ;
 :  \                         `./  .'
  `.                            :.'  
    /        _         _        \    
   |         0}       {0         |   
   |         /         \         |   
   |        /           \        |   
   |       /             \       |   
    \     |      .-.      |     /    
     `.   | . . /   \ . . |   .'     
 jgs   `-._\.'.(     ).'./_.-'       
           `\'  `._.'  '/'           
             `. --'-- .'             
               `-...-'
              "
7,27,"             ___           
          .=""   ""=._.---.  
        .""         c ' Y'`p
       /   ,       `.  w_/ 
   jgs |   '-.   /     /   
 _,..._|      )_-\ \_=.\   
`-....-'`------)))`=-'""`'""
"
7,37," \                                   
  \                                  
   \         ___                     
 \  \       ('+'`)_------_   ######  
  ><          W           -##########
 }  { ejm 96    /|/----\|\  #######  
 }  {          "" ""      "" ""
         "
9,27,"       (\.---./)    (PS)   
        /.-.-.\            
       /| 0_0 |\           
      |_`-(v)-'_|          
      \`-._._.-'/      .-. 
-~-(((.`-\_|_/-'.)))-~' <_ 
       `.     .'           
         `._.'             
-----~--~---~~~----~-`.-;~
"
